"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"240609391","2024 May 23 12:00:00 AM","2024 May 22 12:00:00 AM","2300","06","Hollywood","0647","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"5800    HAROLD                       WY",,"34.0993","-118.3158"
"241211239","2024 May 04 12:00:00 AM","2024 May 04 12:00:00 AM","0840","12","77th Street","1239","1","210","ROBBERY","0344 0443 0334 0216 0202 0945","0","X","X","203","OTHER BUSINESS","200","KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont","210",,,,"5800 S  VERMONT                      AV",,"33.9856","-118.2915"
"240808154","2024 May 03 12:00:00 AM","2024 May 02 12:00:00 AM","1820","08","West LA","0823","1","510","VEHICLE - STOLEN",,"0",,,"707","GARAGE/CARPORT",,,"IC","Invest Cont","510",,,,"15000    CORONA DEL MAR",,"34.0317","-118.5229"
"241810017","2024 May 13 12:00:00 AM","2024 May 01 12:00:00 AM","1745","18","Southeast","1823","2","354","THEFT OF IDENTITY","1822 0922","40","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"300 E  104TH                        ST",,"33.947","-118.2684"
"241709701","2024 May 20 12:00:00 AM","2024 May 17 12:00:00 AM","2030","17","Devonshire","1792","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344 1602 0385 0329","30","M","H","504","OTHER RESIDENCE",,,"IC","Invest Cont","331",,,,"8500    LUBAO                        AV",,"34.2246","-118.5678"
"241510851","2024 May 28 12:00:00 AM","2024 May 28 12:00:00 AM","1404","15","N Hollywood","1525","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","1822 0325 0344","0","M","O","405","CLOTHING STORE",,,"IC","Invest Cont","442",,,,"6100    LAUREL CANYON                BL",,"34.1814","-118.3965"
"241510387","2024 May 12 12:00:00 AM","2024 May 11 12:00:00 AM","2200","15","N Hollywood","1589","1","330","BURGLARY FROM VEHICLE","0321 0329 1822 1300 0344","32","M","H","121","YARD (RESIDENTIAL/BUSINESS)",,,"IC","Invest Cont","330",,,,"3700    BARHAM                       BL",,"34.1389","-118.3416"
"240407816","2024 May 26 12:00:00 AM","2024 May 25 12:00:00 AM","1500","04","Hollenbeck","0499","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"BESWICK                      ST","MIRASOL","34.0215","-118.1975"
"240808353","2024 May 13 12:00:00 AM","2024 May 13 12:00:00 AM","1235","08","West LA","0832","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1300","28","M","W","101","STREET",,,"IC","Invest Cont","740",,,,"900 S  BARRINGTON                   AV",,"34.0532","-118.4652"
"240708731","2024 May 10 12:00:00 AM","2024 May 09 12:00:00 AM","0730","07","Wilshire","0782","1","510","VEHICLE - STOLEN",,"0",,,"108","PARKING LOT",,,"IC","Invest Cont","510",,,,"6000    CADILLAC                     AV",,"34.0374","-118.3742"
